date,n_obs,sigma_step,half_spread,eta_ac
2025-11-12,1573029,0.022634442931791426,0.015000000000000568,6.49999999993156e-06
2025-11-13,2381272,0.022188904741572767,0.010000000000005116,4.603124999990271e-05
2025-11-14,2527633,0.02214636974621774,0.015000000000000568,9.50000000017326e-06
2025-11-17,2740814,0.024957963721626005,0.010000000000005116,3.496874999999732e-05
2025-11-18,3394125,0.025682782633075784,0.015000000000000568,7.00000000030343e-06
2025-11-19,2740254,0.023884075567405665,0.015000000000000568,1.4210854715202004e-16
2025-11-20,3842120,0.023679411684636414,0.015000000000000568,1.90000000000623e-05
2025-11-21,3452448,0.02416040710070554,0.015000000000000568,1.4210854715202004e-16
2025-11-24,1979940,0.02298429981207756,0.010000000000005116,8.499999999713737e-06
2025-11-25,1778593,0.023438430602764588,0.010000000000005116,3.915625000010081e-05
2025-11-26,1323120,0.021949315711612967,0.010000000000005116,6.000000000128125e-06
2025-11-28,583127,0.025387679858091424,0.010000000000005116,1.4210854715202004e-16
2025-12-01,1438436,0.023409446890318795,0.010000000000005116,1.2000000000114141e-05
2025-12-02,1624328,0.023782278290628484,0.010000000000005116,2.4999999999941735e-05
2025-12-03,1352782,0.02354331898522918,0.010000000000005116,2.8374999999805086e-05
2025-12-04,1417299,0.020746918720907313,0.009999999999990905,2.842170943040401e-16
2025-12-05,1112374,0.020234114201613272,0.009999999999990905,5.000000001587068e-07
2025-12-08,1153756,0.019392100748593544,0.009999999999990905,2.842170943040401e-16
2025-12-09,964423,0.020687980076140478,0.009999999999990905,3.000000000383807e-06
2025-12-10,1758310,0.022379675432260836,0.010000000000005116,2.9406249999972542e-05
2025-12-11,1288492,0.022253287216419913,0.010000000000005116,2.6791666666727094e-05
2025-12-12,2018016,0.019893963583605526,0.010000000000005116,2.0000000000131024e-05
2025-12-15,1846104,0.01971936782315563,0.009999999999990905,4.5000000001493845e-06
2025-12-16,1702152,0.02093211425970124,0.010000000000005116,2.4999999999941735e-05
2025-12-17,1745113,0.02223238551003443,0.010000000000005116,4.0531249999933294e-05
2025-12-18,1820295,0.0218987143292019,0.010000000000005116,3.246874999998539e-05
2025-12-19,1298779,0.022544842489716103,0.010000000000005116,1.4210854715202004e-16
2025-12-22,1040301,0.019576082544453054,0.009999999999990905,0.0
2025-12-23,1029791,0.02195064623741423,0.009999999999990905,2.842170943040401e-16
2025-12-24,349442,0.021574917794877507,0.010000000000005116,1.4210854715202004e-16
2025-12-26,600027,0.018791094232400704,0.010000000000005116,6.999999999948159e-06
2025-12-29,784938,0.01994465256957041,0.010000000000005116,2.1316282072803005e-16
2025-12-30,697670,0.01927200595441248,0.010000000000005116,1.4210854715202004e-16
2025-12-31,811074,0.01838819056147877,0.009999999999990905,2.842170943040401e-16
2026-01-02,1779552,0.025549237568475543,0.015000000000000568,1.9499999999901263e-05
2026-01-05,1531649,0.02298103823872571,0.010000000000005116,8.000000000123463e-06
2026-01-06,1710713,0.025062246346951523,0.010000000000005116,3.375000000005457e-05
2026-01-07,1447699,0.0253006725340411,0.010000000000005116,3.3211805555518244e-05
2026-01-08,1557322,0.02549096958346948,0.014999999999986358,2.5000000000829912e-06
2026-01-09,1192448,0.02685847190899,0.015000000000000568,2.9111111111153792e-05
2026-01-12,1174455,0.02486878162851036,0.010000000000005116,2.9343749999982312e-05
2026-01-13,1595486,0.02507238700937665,0.015000000000000568,1.4210854715202004e-16
2026-01-14,1822294,0.024548128685693726,0.015000000000000568,1.4210854715202004e-16
2026-01-15,1282608,0.02716212287025109,0.014999999999986358,2.842170943040401e-16
2026-01-16,984090,0.026266043737764283,0.010000000000005116,3.962499999994762e-05
2026-01-20,1546015,0.030182289400040245,0.015000000000000568,3.552777777767228e-05
2026-01-21,1885993,0.027474691576459216,0.015000000000000568,3.0249999999902852e-05
2026-01-22,1025181,0.027705781135603662,0.015000000000000568,1.749999999997698e-05
2026-01-23,1116936,0.02647648578745662,0.010000000000005116,5.000000000009663e-05
2026-01-26,1086321,0.024942390407780634,0.010000000000005116,3.956250000010542e-05
2026-01-27,1291057,0.025115105344042533,0.010000000000005116,3.418749999998028e-05
2026-01-28,1566110,0.02602849351591004,0.010000000000005116,2.148611111101909e-05
2026-01-29,2845848,0.02390923463976662,0.010000000000005116,2.5000000000048316e-05
2026-01-30,2897247,0.023669990525372667,0.015000000000000568,3.552713678800501e-17
2026-02-02,1516736,0.025100105347311864,0.010000000000005116,2.7111111111016348e-05
2026-02-03,2813707,0.02677644308594159,0.015000000000000568,2.8249999999907513e-05
2026-02-04,4249056,0.023179945029965426,0.015000000000000568,7.105427357601002e-16
2026-02-05,3429363,0.029801156893622536,0.015000000000000568,4.937500000004036e-05
2026-02-06,4632351,0.03094910560797961,0.015000000000000568,0.0
2026-02-09,2617566,0.026096273890969666,0.010000000000005116,1.749999999997698e-05
2026-02-10,2446154,0.023602053960135837,0.010000000000005116,1.5555555555515355e-05
2026-02-11,2813386,0.019602753272235884,0.010000000000005116,2.882986111110597e-05
2026-02-12,3548370,0.018662256327182082,0.010000000000005116,4.999999999995453e-05
2026-02-13,3160090,0.020258049891711462,0.014999999999986358,1.4210854715202004e-16
2026-02-17,3445092,0.021075147598574626,0.015000000000000568,1.4210854715202004e-16
2026-02-18,2115483,0.021919151957722257,0.010000000000005116,2.6874999999932924e-05
2026-02-19,1891617,0.020607994764867098,0.010000000000005116,3.784374999986184e-05
2026-02-20,3586553,0.021399885767109706,0.015000000000000568,2.842170943040401e-16
2026-02-23,2292337,0.01845794410735251,0.009999999999990905,1.4210854715202004e-16
2026-02-24,1915910,0.01951969107890652,0.010000000000005116,3.059375000002973e-05
2026-02-25,1441106,0.019925131311366542,0.009999999999990905,2.842170943040401e-16
2026-02-26,2934601,0.01753887188293532,0.010000000000005116,2.4024305555574443e-05
2026-02-27,2873732,0.01899601982013955,0.010000000000005116,2.349999999989194e-05
2026-03-02,2790054,0.021867806357100356,0.014999999999986358,2.842170943040401e-16
